city,country,lng,lat
Angered,Sweden,12.087846,57.781465000000004
Angers,France,-0.5606014736842105,47.47536652631578
Anglet,France,-1.509627,43.474358
Angleton,United States,-95.431788,29.154675
Angola,United States,-85.005556,41.632222
Angoulême,France,0.12016433333333333,45.656472666666666
Angra do Heroísmo,Portugal,-27.219795,38.668962
Angra dos Reis,Brazil,-44.395011,-22.948076999999998
Angwin,United States,-122.44963899999999,38.574090000000005
Anif,Austria,13.073789000000001,47.73261599999999
Anières,Switzerland,6.227459,46.278119000000004
Anjo,Japan,136.9506285,35.062437
Ankang,China,109.03087249999999,32.68796
Ankara,Turkey,32.811209082499985,39.91967778125
Ankaran,Slovenia,13.727054,45.58215
Ankeny,United States,-93.6067552,41.7119148
Anking,China,117.081175,30.528113499999996
Ann Arbor,United States,-83.73342965178574,42.27183489285714
Annaba,Algeria,7.718521000000001,36.86895
Annaberg-Buchholz,Germany,13.010516,50.586285
Annalong,United Kingdom,-5.896609,54.109632999999995
Annandale,United States,-78.89795593,39.47215885000001
Annapolis,United States,-76.51848512500003,38.98373978125001
Annecy,France,6.12137375,45.918996125
Annecy-le-Vieux,France,6.1596055,45.921058
Annemasse,France,6.2418830000000005,46.191008000000004
Anniston,United States,-85.83406033333331,33.649812000000004
Annville,United States,-76.541892,40.3805305
Anoka,United States,-93.4039745,45.212781
Ans,Belgium,,
Ansan-si,South Korea,126.84842350000001,37.311724125
Ansbach,Germany,10.577151,49.303897500000005
Anse Royale,Seychelles,55.51511800000001,-4.739004
Anseong,South Korea,127.3108344,37.0306232
Anshan,China,122.98511780000001,41.086235200000004
Anshun,China,105.89868999999999,26.250684999999997
Anstruther,United Kingdom,-2.697218,56.222768
Antakya,Turkey,36.160066,36.218799
Antalya,Turkey,30.6673295,36.90060575
Antananarivo,Madagascar,47.517749300000006,-18.898538000000002
Antibes,France,7.074077750000001,43.6072375
Antigonish,Canada,-61.988263499999995,45.623109
Antigua Guatemala,Guatemala,-90.735004,14.560395999999999
Antiguo Cuscatlán,El Salvador,-89.254868,13.681617000000001
Antioch,United States,-121.8572145,37.719242
Antofagasta,Chile,-70.40593,-23.665861333333336
Anton,Bulgaria,23.292277,42.701479
Antony,France,2.309858425,48.73999919999999
Antrim,United Kingdom,-6.1416598,54.69386899999999
Antsiranana,Madagascar,49.306374,-12.281873
Antwerp,Belgium,4.406726714285715,51.212134523809524
Anuradhapura,Sri Lanka,80.503262,8.363752
Anyang,China,114.3629814,36.0872298
Anyang-si,South Korea,126.94946182352942,37.40471188235295
Anzola dell'Emilia,Italy,,
Anápolis,Brazil,-49.022307500000004,-16.428687
Aomori,Japan,140.8173846153846,40.73942399999999
Aosta,Italy,7.313654666666667,45.73770533333334
Aouste-sur-Sye,France,5.0665629999999995,44.712238
Apartadó,Colombia,-76.632375,7.878458
Apatity,Russia,33.406178999999995,67.568519
Apeldoorn,Netherlands,5.964125222222222,52.209840111111106
Apex,United States,-78.87431833333333,35.748086
Apia,Samoa,-171.761202,-13.839870666666664
Apiro,Italy,13.120645999999999,43.347910999999996
Apizaco,Mexico,-98.120756,19.408304
Apolda,Germany,13.133288,52.095795
Apopka,United States,-81.491853,28.659652
Appenzell,Switzerland,9.409652,47.3311755
Apple Valley,United States,-105.1818465,39.63209
Appleby-in-Westmorland,United Kingdom,-2.489584,54.579402
Applecross,Australia,115.83748200000001,-32.012921999999996
Appleton,United States,-88.54372070000001,44.21050580000001
Aprilia,Italy,,
Apt,France,5.358696,43.885515000000005
Aptos,United States,-121.89536333333332,36.97003616666667
Ar Ramtha,Jordan,35.993819,32.501740000000005
Ar Rifā‘,Bahrain,50.567258,26.119387
Arab,United States,-86.16949699999999,34.201361
Aracaju,Brazil,-37.07212333333334,-10.932769666666665
Arad,Romania,21.314203000000003,46.176522
Arak,Iran,49.67690066666666,34.08988133333333
Aral,China,81.288895,40.546402
Aranjuez,Spain,-3.6110620000000004,40.056833000000005
Arar,Saudi Arabia,41.198987,30.859432
Araraquara,Brazil,-48.1792794,-21.792657600000002
Araras,Brazil,-47.38616033333333,-22.356946000000004
Araxá,Brazil,-46.8247515,-21.593966
Araçatuba,Brazil,-50.426516,-21.223747666666668
Arba Minch,Ethiopia,37.559813,6.065758
Arbon,Switzerland,9.402827,47.530141
Arbroath,United Kingdom,-2.6143175,56.553864000000004
Arcadia,United States,-110.7955782,32.75754499999999
Arcata,United States,-124.06112379999999,40.819464800000006
Archamps,France,6.117149,46.139216000000005
Archbold,United States,-84.30311999999999,41.452684000000005
Archidona,Ecuador,-77.862736,-0.949773
Arcola,United States,,
Arcueil,France,2.326843,48.809497666666665
Ardabil,Iran,48.288838,38.21720333333334
Ardahan,Turkey,42.780157,41.131673
Arden Hills,United States,-93.154972,45.04627
Ardmore,United States,-86.224067125,37.09707112499999
Ardooie,Belgium,3.1994740000000004,50.989292
Ardsley,United States,-73.85093950000001,41.005106999999995
Arecibo,United States,-66.747276,18.4087655
Arendal,Norway,8.734184058823528,58.450212058823524
Arequipa,Peru,-71.53922733333333,-16.403111
Aretxabaleta,Spain,,
Arezzo,Italy,11.87365225,43.47072025
Arganda,Spain,-3.471451,40.3055625
Argelato,Italy,,
Argenteuil,France,2.237014,48.945026
Argostoli,Greece,20.902641,37.76612
Argyle,United States,,
Ariano Irpino,Italy,15.133926999999998,41.199393
Arica,Chile,-70.3122575,-18.4761185
Ariel,Israel,35.209078999999996,32.10438
Arima,Trinidad and Tobago,-61.216667,10.616667
Arizona City,United States,-111.24865600000001,32.493583
Arkadelphia,United States,-92.80952549999999,34.127247999999994
Arkansas City,United States,-93.83635,35.280778749999996
Arkhangelsk,Russia,40.547883999999996,64.54498662499999
Arklow,Ireland,-6.161986,52.796578000000004
Arles,France,4.666805,43.508802
Arlesheim,Switzerland,7.591711999999999,47.49604
Arlington,United States,-78.44369667074234,38.49698981921399
Arlington Heights,United States,-87.07173673333334,42.004856733333334
Arlon,Belgium,5.820431,49.678004
Arluno,Italy,8.956738,45.501156
Armadale,United Kingdom,-5.871899,57.086932
Armagh,United Kingdom,-6.6518265,54.3527275
Armavir,Russia,41.1302465,44.99558424999999
Armenia,Colombia,-75.66139966666667,4.547712333333333
Armidale,Australia,151.65097066666667,-30.497159666666665
Armonk,United States,-73.57660533333335,40.99592366666667
Arnbruck,Germany,12.856154,49.174126
Arnhem,Netherlands,5.90848948611111,52.00374107499999
Arnold,United States,-87.4658245,38.83601725
Arnprior,Canada,-76.35073933333332,45.42873133333333
Arnsberg,Germany,8.018556499999999,51.425718
Arouca,Portugal,-8.547599,40.931266
Arqalyk,Kazakhstan,66.910938,50.25851
Arrah,India,84.65316,25.553015
Arraial do Cabo,Brazil,-42.0243425,-22.970755
Arraiján,Panama,,
Arras,France,2.7754185,50.28963850000001
Arrecife,Spain,-13.565913,28.973490999999996
Arroyo Grande,United States,-120.590725,35.113481
Arsanjān,Iran,53.320666,29.926840999999996
Arta,Greece,20.978203,39.150038
Artern,Germany,,
Artesia,United States,-118.0860855,33.864035
Artvin,Turkey,41.849488,41.198789
Arua,Uganda,30.927307,3.00926275
Arujá,Brazil,-46.334317,-23.39678
Arusha,Tanzania,36.729860625,-3.3739611249999997
Arvada,United States,-105.10589479999999,39.8098378
Arvika,Sweden,12.739117,59.53128100000001
Aryanah,Tunisia,10.165451714285714,36.881186571428564
As Samawah,Iraq,45.289776,31.338094
As Sālimīyah,Kuwait,48.0439685,29.3308805
Asaba,Nigeria,5.688745,5.998187000000001
Asadābād,Afghanistan,,
Asahi,Japan,140.63113700000002,35.721936
Asahikawa,Japan,142.37490633333334,43.77596166666666
Asaka,Japan,140.00589399999998,36.852339
Asan,South Korea,127.0226478,36.789027999999995
Asansol,India,87.1748445,23.6068875
Asbach,Germany,7.424415,50.668606
Asbury Park,United States,-74.010566,40.225221000000005
Aschau im Chiemgau,Germany,12.328016,47.782826
Aschersleben,Germany,11.5428265,51.746965
Aschheim,Germany,11.6818835,48.1473685
Ascot,United Kingdom,-0.6631565,51.409148
Ashbourne,United Kingdom,-1.7389860000000001,53.013863
Ashburn,United States,-77.3121888888889,38.79664788888889
Ashdod,Israel,34.789097,31.251069
Asheboro,United States,-79.80823466666665,35.67300633333333
Asheville,United States,-82.54729462068967,35.584788551724145
Ashfield,Australia,151.120797,-33.887256
Ashford,United Kingdom,0.540493,51.23637037499999
Ashgabat,Turkmenistan,58.37636916666668,37.92468238888889
Ashibetsu,Japan,142.166401,43.45993
Ashikaga,Japan,139.422214,36.346888500000006
Ashington,United Kingdom,-1.5591173333333332,55.185390000000005
Ashiya,Japan,135.3112445,34.742954
Ashland,United States,-94.80861571428572,40.9305365
Ashqelon,Israel,34.63565366666666,31.69218433333333
Ashtabula,United States,-80.80195905,41.87530925
Ashtarak,Armenia,44.345509,40.273922999999996
Ashtead,United Kingdom,-0.303345,51.304463
Ashton in Makerfield,United Kingdom,,
Ashton-under-Lyne,United Kingdom,-2.0808866666666668,53.490773999999995
Ask,Norway,11.035942,60.07173
Asker,Norway,10.47100637037037,59.83977737037038
Askim,Norway,11.169544333333333,59.58157566666666
Askola,Finland,,
Askvoll,Norway,4.890789,61.356970999999994
